Time,Toe,Heel,SAVZ,SAVY,SAVX,SANZ,SANY,SANX,SACZ,SACY,SACX,AAVZ,AAVY,AAVX,AANZ,AANY,AANX,AACZ,AACY,AACX
29258,1,0,0.06442308,-11.85048077,35.68798077,330.84038462,-10.83605769,-14.16730769,-2.31507692,1.99276923,-3.27423077,-21.46971154,27.18173077,14.93076923,320.74182692,-1.56634615,-3.70192308,-2.90084615,-4.79661538,-0.82761538
29282,3,0,23.68942308,17.46201923,-35.12451923,331.27788462,-11.21105769,-14.41730769,-0.81507692,2.53276923,-0.36423077,5.71778846,-5.44326923,8.55576923,320.55432692,-1.69134615,-3.95192308,-0.62084615,0.71338462,0.06238462
29306,9,2,22.75192308,23.27451923,-10.68701923,331.65288462,-11.71105769,-14.91730769,0.80492308,0.13276923,-1.79423077,1.96778846,-12.88076923,9.68076923,320.36682692,-1.50384615,-4.20192308,-0.25084615,-0.44661538,0.10238462
29325,7,3,2.37692308,26.46201923,-7.43701923,331.84038462,-12.46105769,-15.16730769,-0.12507692,1.78276923,2.47576923,-3.09471154,-5.63076923,4.86826923,320.24182692,-1.37884615,-4.32692308,0.05915385,1.70338462,0.34238462
29348,7,6,0.87692308,15.58701923,-17.81201923,332.21538462,-12.77355769,-15.10480769,-0.82507692,2.28276923,2.35576923,-19.15721154,1.11923077,-0.38173077,320.17932692,-1.44134615,-4.07692308,-0.78084615,-0.66661538,-0.01761538
29369,8,9,-6.68557692,6.58701923,-9.56201923,332.46538462,-12.96105769,-15.04230769,-1.24507692,1.38276923,-1.72423077,-17.09471154,-1.50576923,0.18076923,320.05432692,-1.37884615,-3.63942308,-0.68084615,-0.56661538,0.02238462
29390,4,10,-22.06057692,12.71201923,0.12548077,332.40288462,-13.21105769,-14.72980769,-1.59507692,2.03276923,-0.41423077,-14.15721154,-3.44326923,0.74326923,319.99182692,-1.31634615,-3.45192308,-0.70084615,0.69338462,0.05238462
29410,3,14,-26.24807692,7.77451923,0.68798077,332.34038462,-13.33605769,-14.29230769,-0.99507692,2.09276923,1.47576923,-13.21971154,-3.56826923,-2.50673077,319.92932692,-1.25384615,-3.26442308,-0.56084615,-0.35661538,0.02238462
29434,17,12,-27.06057692,-0.85048077,12.25048077,332.09038462,-13.33605769,-13.85480769,-1.23507692,-0.33723077,-0.49423077,-15.15721154,-2.75576923,-2.38173077,319.92932692,-1.19134615,-2.95192308,-0.43084615,-0.45661538,0.01238462
29457,6,20,-30.68557692,-0.35048077,10.68798077,331.71538462,-13.27355769,-13.10480769,-1.59507692,0.11276923,0.47576923,-12.03221154,-1.06826923,-2.75673077,319.92932692,-1.12884615,-2.76442308,-0.58084615,-0.31661538,0.04238462
29481,11,17,-32.81057692,-7.22548077,-3.62451923,331.65288462,-13.14855769,-12.54230769,-1.69507692,0.44276923,0.30576923,-9.21971154,-0.56826923,-3.13173077,319.92932692,-1.06634615,-2.45192308,-0.58084615,-0.32661538,0.03238462
29504,11,17,-36.31057692,-11.97548077,-5.43701923,331.71538462,-12.96105769,-11.85480769,-1.37507692,0.55276923,0.49576923,-8.46971154,-0.31826923,-2.63173077,319.99182692,-1.00384615,-2.32692308,-0.50084615,-0.18661538,0.06238462
29525,5,17,-39.43557692,-18.03798077,-4.62451923,331.77788462,-12.52355769,-10.72980769,-1.24507692,0.91276923,0.28576923,-7.65721154,0.05673077,-2.69423077,319.99182692,-1.00384615,-2.13942308,-0.53084615,-0.10661538,0.03238462
29549,10,14,-41.56057692,-21.85048077,2.31298077,331.71538462,-12.08605769,-9.97980769,-0.72507692,0.43276923,0.07576923,-7.84471154,0.49423077,-2.94423077,320.05432692,-0.94134615,-2.01442308,-0.56084615,0.00338462,0.01238462
29569,7,14,-43.43557692,-23.22548077,4.93798077,331.52788462,-11.64855769,-9.16730769,-0.62507692,0.44276923,0.02576923,-8.21971154,0.93173077,-3.19423077,-1727.88317,-0.941346154,-1.88942308,-0.62084615,0.00338462,0.02238462
29592,8,11,-43.37307692,-24.35048077,3.56298077,331.40288462,-11.21105769,-8.41730769,-0.48507692,0.25276923,-0.17423077,-10.03221154,1.24423077,-4.31923077,320.17932692,-0.94134615,-1.63942308,-0.53084615,0.11338462,0.09238462
29615,8,10,-43.93557692,-24.28798077,4.12548077,331.27788462,-10.71105769,-7.60480769,-0.55507692,0.29276923,-0.13423077,-10.78221154,1.18173077,-4.25673077,320.24182692,-0.94134615,-1.45192308,-0.53084615,-0.00661538,0.05238462
29636,5,13,-44.81057692,-24.97548077,6.06298077,331.02788462,-10.02355769,-6.41730769,-0.66507692,0.38276923,0.04576923,-11.28221154,1.49423077,-4.00673077,320.24182692,-0.94134615,-1.26442308,-0.71084615,-0.04661538,-0.03761538
29658,7,8,-44.43557692,-24.22548077,6.12548077,330.84038462,-9.58605769,-5.60480769,-0.02507692,-0.05723077,-0.54423077,-12.09471154,0.36923077,-4.81923077,320.30432692,-0.87884615,-1.01442308,-0.44084615,-0.26661538,0.06238462
29681,4,7,-41.99807692,-20.47548077,11.50048077,330.59038462,-9.14855769,-4.85480769,0.05492308,-0.86723077,-0.28423077,-11.65721154,0.61923077,-3.81923077,320.36682692,-0.81634615,-0.70192308,-0.62084615,0.02338462,0.02238462
29705,5,10,-38.18557692,-19.53798077,5.68798077,330.40288462,-8.77355769,-4.16730769,0.37492308,-1.10723077,-0.66423077,-12.28221154,0.30673077,-4.38173077,320.42932692,-0.81634615,-0.45192308,-0.60084615,-0.09661538,0.01238462
29724,6,7,-33.18557692,-15.03798077,6.37548077,330.27788462,-8.46105769,-3.60480769,0.05492308,-1.09723077,-0.50423077,-12.03221154,-0.50576923,-3.63173077,320.429327,-0.753846154,-0.201923077,-0.59084615,-0.08661538,0.00238462
29746,9,10,-28.93557692,-12.53798077,8.56298077,329.96538462,-8.08605769,-2.85480769,-0.14507692,-1.02723077,-0.48423077,-11.65721154,-0.69326923,-3.19423077,320.429327,-0.753846154,-0.0144230769,-0.50084615,-0.29661538,0.00238462
29769,8,8,-20.31057692,-7.35048077,14.50048077,329.65288462,-7.89855769,-2.54230769,-0.01507692,-1.59723077,-0.60423077,-10.28221154,-0.94326923,-2.31923077,320.491827,-0.691346154,0.173076923,-0.37084615,-0.32661538,0.11238462
